datum,plats,latitud,longitud,temperatur_c,luftfuktighet_procent,vindhastighet_ms,vindriktning_grader,nederbord_mm,lufttryck_hpa,sikt_km,molnighet_procent
2024-01-01,Mariehamn,60.0972,19.9348,-1.7,61,6.9,75,0.1,1021.1,7,74
2024-01-01,Jomala,60.1,19.95,1.2,65,6.4,42,0.1,1019.7,6,65
2024-01-01,Finström,60.2167,19.95,-0.4,57,5.3,81,0.1,1020.4,9,64
2024-01-01,Sund,60.25,20.2,0.1,64,5.5,146,0.1,1018.0,12,69
2024-01-01,Hammarland,60.2167,19.75,-0.9,56,11.0,171,0.1,1020.9,13,73
2024-01-01,Saltvik,60.2833,20.05,-1.2,64,3.4,46,0.1,1020.5,7,77
2024-01-01,Geta,60.3833,19.85,-1.5,60,5.7,255,0.1,1020.7,14,80
2024-01-01,Eckerö,60.2167,19.6167,-0.7,59,8.0,126,0.1,1020.9,13,65
2024-01-01,Lemland,60.05,20.0167,-2.1,57,4.5,194,0.1,1018.3,12,70
2024-01-01,Lumparland,60.1167,20.25,-0.2,58,6.0,252,0.1,1021.0,10,78
2024-01-02,Mariehamn,60.0972,19.9348,-1.5,80,8.4,239,0.3,1001.3,6,64
2024-01-02,Jomala,60.1,19.95,0.7,80,3.4,90,0.3,1002.2,5,67
2024-01-02,Finström,60.2167,19.95,-0.4,83,5.6,69,0.5,1004.4,5,68
2024-01-02,Sund,60.25,20.2,1.0,85,5.6,184,0.4,1001.4,11,79
2024-01-02,Hammarland,60.2167,19.75,1.6,83,7.1,150,0.4,1001.8,5,74
2024-01-02,Saltvik,60.2833,20.05,-0.7,85,6.1,215,0.4,1002.3,8,74
2024-01-02,Geta,60.3833,19.85,-1.7,80,4.0,145,0.5,1004.1,5,69
2024-01-02,Eckerö,60.2167,19.6167,-2.0,77,9.7,208,0.4,1005.1,10,77
2024-01-02,Lemland,60.05,20.0167,1.2,76,6.1,242,0.3,1003.7,10,76
2024-01-02,Lumparland,60.1167,20.25,0.5,82,5.3,220,0.4,1003.7,8,73
2024-01-03,Mariehamn,60.0972,19.9348,1.6,62,10.3,250,0.5,1010.9,12,57
2024-01-03,Jomala,60.1,19.95,0.7,57,3.9,235,0.3,1009.9,15,63
2024-01-03,Finström,60.2167,19.95,1.4,61,6.7,355,0.4,1009.8,9,64
2024-01-03,Sund,60.25,20.2,2.5,55,7.4,167,0.4,1010.6,16,56
